# BEGIN PLOT
RatioPlotReference=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R8
RatioPlot=1
DrawOnly=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R8 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx11.yoda/MC_LHQG_EE/GA_00_00_R8 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx12.yoda/MC_LHQG_EE/GA_00_00_R8
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R8
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R8
ScaledBy=3.8984075005360307e-06
Title=1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.500000e+00	3.898408e-06	3.898407e-06	3.898407e-06
2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.500000e+00	1.949204e-05	8.717104e-06	8.717104e-06
4.500000e+00	5.500000e+00	6.627293e-05	1.607355e-05	1.607355e-05
5.500000e+00	6.500000e+00	1.481395e-04	2.403140e-05	2.403140e-05
6.500000e+00	7.500000e+00	3.157710e-04	3.508567e-05	3.508567e-05
7.500000e+00	8.500000e+00	5.652691e-04	4.694304e-05	4.694304e-05
8.500000e+00	9.500000e+00	8.420560e-04	5.729466e-05	5.729466e-05
9.500000e+00	1.050000e+01	1.220202e-03	6.896987e-05	6.896987e-05
1.050000e+01	1.150000e+01	1.742588e-03	8.242159e-05	8.242159e-05
1.150000e+01	1.250000e+01	2.378029e-03	9.628356e-05	9.628356e-05
1.250000e+01	1.350000e+01	3.196694e-03	1.116334e-04	1.116334e-04
1.350000e+01	1.450000e+01	4.565035e-03	1.334030e-04	1.334030e-04
