# BEGIN PLOT
RatioPlotReference=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_20_00_R4
RatioPlot=1
DrawOnly=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_20_00_R4 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200-alphasx11.yoda/MC_LHQG_EE/GA_20_00_R4 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200-alphasx12.yoda/MC_LHQG_EE/GA_20_00_R4
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_20_00_R4
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_20_00_R4
ScaledBy=3.3232527998404837e-06
Title=1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-03	4.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-03	6.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-03	8.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-03	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	1.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-02	1.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e-02	1.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-02	1.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	2.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-02	2.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-02	2.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e-02	2.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-02	3.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e-02	3.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-02	3.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-02	3.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-02	3.800000e-02	8.308130e-03	3.715510e-03	3.715510e-03
3.800000e-02	4.000000e-02	8.308130e-03	3.715510e-03	3.715510e-03
4.000000e-02	4.200000e-02	2.658602e-02	6.646505e-03	6.646505e-03
4.200000e-02	4.400000e-02	2.990928e-02	7.049684e-03	7.049684e-03
4.400000e-02	4.600000e-02	1.080057e-01	1.339646e-02	1.339646e-02
4.600000e-02	4.800000e-02	1.179754e-01	1.400111e-02	1.400111e-02
4.800000e-02	5.000000e-02	1.694859e-01	1.678160e-02	1.678160e-02
5.000000e-02	5.200000e-02	2.160115e-01	1.894545e-02	1.894545e-02
5.200000e-02	5.400000e-02	3.190322e-01	2.302417e-02	2.302417e-02
5.400000e-02	5.600000e-02	5.001495e-01	2.882814e-02	2.882814e-02
5.600000e-02	5.800000e-02	6.247715e-01	3.222013e-02	3.222013e-02
5.800000e-02	6.000000e-02	7.992425e-01	3.644231e-02	3.644231e-02
6.000000e-02	6.200000e-02	9.554350e-01	3.984440e-02	3.984440e-02
6.200000e-02	6.400000e-02	1.141537e+00	4.355237e-02	4.355237e-02
6.400000e-02	6.600000e-02	1.345917e+00	4.729072e-02	4.729072e-02
6.600000e-02	6.800000e-02	1.513741e+00	5.015249e-02	5.015249e-02
6.800000e-02	7.000000e-02	1.776278e+00	5.432782e-02	5.432782e-02
7.000000e-02	7.200000e-02	2.018876e+00	5.791906e-02	5.791906e-02
7.200000e-02	7.400000e-02	2.181715e+00	6.020959e-02	6.020959e-02
7.400000e-02	7.600000e-02	2.397727e+00	6.311995e-02	6.311995e-02
7.600000e-02	7.800000e-02	2.517364e+00	6.467548e-02	6.467548e-02
7.800000e-02	8.000000e-02	2.851351e+00	6.883226e-02	6.883226e-02
8.000000e-02	8.200000e-02	2.799840e+00	6.820770e-02	6.820770e-02
8.200000e-02	8.400000e-02	3.183676e+00	7.273294e-02	7.273294e-02
8.400000e-02	8.600000e-02	3.426274e+00	7.545321e-02	7.545321e-02
8.600000e-02	8.800000e-02	3.615699e+00	7.751090e-02	7.751090e-02
8.800000e-02	9.000000e-02	3.673856e+00	7.813178e-02	7.813178e-02
9.000000e-02	9.200000e-02	4.029444e+00	8.182561e-02	8.182561e-02
9.200000e-02	9.400000e-02	4.072646e+00	8.226310e-02	8.226310e-02
9.400000e-02	9.600000e-02	4.122495e+00	8.276501e-02	8.276501e-02
