# BEGIN PLOT
RatioPlotReference=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_20_R4
RatioPlot=1
DrawOnly=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_20_R4 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx11.yoda/MC_LHQG_EE/GA_10_20_R4 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx12.yoda/MC_LHQG_EE/GA_10_20_R4
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_20_R4
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_10_20_R4
ScaledBy=6.8752148504640768e-06
Title=1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	3.781368e-02	1.140125e-02	1.140125e-02
2.000000e-03	4.000000e-03	8.937780e-02	1.752843e-02	1.752843e-02
4.000000e-03	6.000000e-03	2.062565e-01	2.662759e-02	2.662759e-02
6.000000e-03	8.000000e-03	3.403232e-01	3.420376e-02	3.420376e-02
8.000000e-03	1.000000e-02	4.778274e-01	4.052880e-02	4.052880e-02
1.000000e-02	1.200000e-02	6.668960e-01	4.788033e-02	4.788033e-02
1.200000e-02	1.400000e-02	9.040910e-01	5.574863e-02	5.574863e-02
1.400000e-02	1.600000e-02	1.062221e+00	6.042762e-02	6.042762e-02
1.600000e-02	1.800000e-02	1.309729e+00	6.709942e-02	6.709942e-02
1.800000e-02	2.000000e-02	1.570986e+00	7.348765e-02	7.348765e-02
2.000000e-02	2.200000e-02	1.680990e+00	7.601700e-02	7.601700e-02
2.200000e-02	2.400000e-02	2.220694e+00	8.737205e-02	8.737205e-02
2.400000e-02	2.600000e-02	2.378825e+00	9.042934e-02	9.042934e-02
2.600000e-02	2.800000e-02	2.894465e+00	9.974986e-02	9.974986e-02
2.800000e-02	3.000000e-02	3.014782e+00	1.018019e-01	1.018019e-01
3.000000e-02	3.200000e-02	3.726366e+00	1.131803e-01	1.131803e-01
