# BEGIN PLOT
RatioPlotReference=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R4
RatioPlot=1
DrawOnly=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R4 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx11.yoda/MC_LHQG_EE/GA_00_00_R4 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200-alphasx12.yoda/MC_LHQG_EE/GA_00_00_R4
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R4
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/gg-200.yoda/MC_LHQG_EE/GA_00_00_R4
ScaledBy=6.8752148504640768e-06
Title=1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	6.875215e-06	6.875215e-06	6.875215e-06
1.500000e+00	2.500000e+00	6.875215e-06	6.875215e-06	6.875215e-06
2.500000e+00	3.500000e+00	8.937779e-05	2.478894e-05	2.478894e-05
3.500000e+00	4.500000e+00	3.025095e-04	4.560501e-05	4.560501e-05
4.500000e+00	5.500000e+00	6.256446e-04	6.558537e-05	6.558537e-05
5.500000e+00	6.500000e+00	1.189412e-03	9.042933e-05	9.042933e-05
6.500000e+00	7.500000e+00	2.055689e-03	1.188836e-04	1.188836e-04
7.500000e+00	8.500000e+00	3.520110e-03	1.555683e-04	1.555683e-04
8.500000e+00	9.500000e+00	4.847026e-03	1.825496e-04	1.825496e-04
9.500000e+00	1.050000e+01	7.548986e-03	2.278177e-04	2.278177e-04
1.050000e+01	1.150000e+01	1.046408e-02	2.682215e-04	2.682215e-04
1.150000e+01	1.250000e+01	1.410794e-02	3.114404e-04	3.114404e-04
1.250000e+01	1.350000e+01	2.006188e-02	3.713889e-04	3.713889e-04
1.350000e+01	1.450000e+01	2.574080e-02	4.206823e-04	4.206823e-04
1.450000e+01	1.550000e+01	3.199725e-02	4.690288e-04	4.690288e-04
1.550000e+01	1.650000e+01	3.940873e-02	5.205223e-04	5.205223e-04
1.650000e+01	1.750000e+01	4.740461e-02	5.708913e-04	5.708913e-04
1.750000e+01	1.850000e+01	5.359917e-02	6.070468e-04	6.070468e-04
1.850000e+01	1.950000e+01	6.026813e-02	6.437052e-04	6.437052e-04
1.950000e+01	2.050000e+01	6.472327e-02	6.670730e-04	6.670730e-04
2.050000e+01	2.150000e+01	6.728773e-02	6.801600e-04	6.801600e-04
2.150000e+01	2.250000e+01	6.784462e-02	6.829687e-04	6.829687e-04
2.250000e+01	2.350000e+01	6.594706e-02	6.733500e-04	6.733500e-04
2.350000e+01	2.450000e+01	6.231007e-02	6.545190e-04	6.545190e-04
2.450000e+01	2.550000e+01	5.894122e-02	6.365795e-04	6.365795e-04
2.550000e+01	2.650000e+01	5.138536e-02	5.943782e-04	5.943782e-04
2.650000e+01	2.750000e+01	4.543829e-02	5.589258e-04	5.589258e-04
2.750000e+01	2.850000e+01	4.032314e-02	5.265265e-04	5.265265e-04
2.850000e+01	2.950000e+01	3.298041e-02	4.761800e-04	4.761800e-04
2.950000e+01	3.050000e+01	2.785150e-02	4.375900e-04	4.375900e-04
3.050000e+01	3.150000e+01	2.166380e-02	3.859317e-04	3.859317e-04
3.150000e+01	3.250000e+01	1.753180e-02	3.471814e-04	3.471814e-04
3.250000e+01	3.350000e+01	1.361293e-02	3.059278e-04	3.059278e-04
3.350000e+01	3.450000e+01	1.072534e-02	2.715492e-04	2.715492e-04
3.450000e+01	3.550000e+01	8.002750e-03	2.345648e-04	2.345648e-04
3.550000e+01	3.650000e+01	5.589550e-03	1.960341e-04	1.960341e-04
3.650000e+01	3.750000e+01	4.365761e-03	1.732500e-04	1.732500e-04
3.750000e+01	3.850000e+01	3.025095e-03	1.442157e-04	1.442157e-04
3.850000e+01	3.950000e+01	2.378824e-03	1.278864e-04	1.278864e-04
3.950000e+01	4.050000e+01	1.457546e-03	1.001046e-04	1.001046e-04
4.050000e+01	4.150000e+01	1.106910e-03	8.723670e-05	8.723670e-05
4.150000e+01	4.250000e+01	8.387762e-04	7.593923e-05	7.593923e-05
4.250000e+01	4.350000e+01	4.468890e-04	5.542976e-05	5.542976e-05
4.350000e+01	4.450000e+01	2.956342e-04	4.508380e-05	4.508380e-05
4.450000e+01	4.550000e+01	2.750086e-04	4.348267e-05	4.348267e-05
4.550000e+01	4.650000e+01	1.787556e-04	3.505685e-05	3.505685e-05
4.650000e+01	4.750000e+01	9.625301e-05	2.572470e-05	2.572470e-05
4.750000e+01	4.850000e+01	4.125129e-05	1.684077e-05	1.684077e-05
4.850000e+01	4.950000e+01	2.062564e-05	1.190822e-05	1.190822e-05
4.950000e+01	5.050000e+01	2.750086e-05	1.375043e-05	1.375043e-05
5.050000e+01	5.150000e+01	1.375043e-05	9.723022e-06	9.723022e-06
5.150000e+01	5.250000e+01	6.875215e-06	6.875215e-06	6.875215e-06
5.250000e+01	5.350000e+01	6.875215e-06	6.875215e-06	6.875215e-06
5.350000e+01	5.450000e+01	6.875215e-06	6.875215e-06	6.875215e-06
5.450000e+01	5.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.550000e+01	5.650000e+01	6.875215e-06	6.875215e-06	6.875215e-06
5.650000e+01	5.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.750000e+01	5.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.850000e+01	5.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.950000e+01	6.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.050000e+01	6.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.150000e+01	6.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.250000e+01	6.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.350000e+01	6.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.450000e+01	6.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.550000e+01	6.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.650000e+01	6.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.750000e+01	6.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.850000e+01	6.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.950000e+01	7.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.050000e+01	7.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.150000e+01	7.250000e+01	0.000000e+00	0.000000e+00	0.000000e+00
