# BEGIN PLOT
RatioPlotReference=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_10_05_R6
RatioPlot=1
DrawOnly=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_10_05_R6 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200-alphasx11.yoda/MC_LHQG_EE/GA_10_05_R6 /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200-alphasx12.yoda/MC_LHQG_EE/GA_10_05_R6
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_10_05_R6
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/phas.gla.ac.uk/user/d/dkar/MCTune/lh2015-qg/Pythia-8205/results/uu-200.yoda/MC_LHQG_EE/GA_10_05_R6
ScaledBy=3.0079892193666376e-06
Title=1
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	1.819833e-01	1.654394e-02	1.654394e-02
2.000000e-03	4.000000e-03	2.556791e-02	6.201129e-03	6.201129e-03
4.000000e-03	6.000000e-03	1.052796e-02	3.979196e-03	3.979196e-03
6.000000e-03	8.000000e-03	6.015980e-03	3.007989e-03	3.007989e-03
8.000000e-03	1.000000e-02	7.519975e-03	3.363034e-03	3.363034e-03
1.000000e-02	1.200000e-02	7.519975e-03	3.363034e-03	3.363034e-03
1.200000e-02	1.400000e-02	1.804793e-02	5.209990e-03	5.209990e-03
1.400000e-02	1.600000e-02	1.052796e-02	3.979196e-03	3.979196e-03
1.600000e-02	1.800000e-02	1.353595e-02	4.511984e-03	4.511984e-03
1.800000e-02	2.000000e-02	7.519975e-03	3.363034e-03	3.363034e-03
2.000000e-02	2.200000e-02	1.955193e-02	5.422730e-03	5.422730e-03
2.200000e-02	2.400000e-02	1.503994e-02	4.756049e-03	4.756049e-03
2.400000e-02	2.600000e-02	1.955193e-02	5.422730e-03	5.422730e-03
2.600000e-02	2.800000e-02	2.556791e-02	6.201129e-03	6.201129e-03
2.800000e-02	3.000000e-02	2.707191e-02	6.380909e-03	6.380909e-03
3.000000e-02	3.200000e-02	3.759986e-02	7.519973e-03	7.519973e-03
3.200000e-02	3.400000e-02	2.406391e-02	6.015979e-03	6.015979e-03
3.400000e-02	3.600000e-02	2.707191e-02	6.380909e-03	6.380909e-03
3.600000e-02	3.800000e-02	3.459187e-02	7.212905e-03	7.212905e-03
3.800000e-02	4.000000e-02	5.715180e-02	9.271246e-03	9.271246e-03
4.000000e-02	4.200000e-02	3.459187e-02	7.212905e-03	7.212905e-03
4.200000e-02	4.400000e-02	5.414380e-02	9.023968e-03	9.023968e-03
4.400000e-02	4.600000e-02	7.219175e-02	1.041998e-02	1.041998e-02
4.600000e-02	4.800000e-02	5.715180e-02	9.271246e-03	9.271246e-03
4.800000e-02	5.000000e-02	9.475165e-02	1.193759e-02	1.193759e-02
5.000000e-02	5.200000e-02	1.082876e-01	1.276182e-02	1.276182e-02
5.200000e-02	5.400000e-02	1.112956e-01	1.293785e-02	1.293785e-02
5.400000e-02	5.600000e-02	1.037756e-01	1.249312e-02	1.249312e-02
5.600000e-02	5.800000e-02	1.203195e-01	1.345214e-02	1.345214e-02
5.800000e-02	6.000000e-02	1.218236e-01	1.353595e-02	1.353595e-02
6.000000e-02	6.200000e-02	1.458875e-01	1.481263e-02	1.481263e-02
6.200000e-02	6.400000e-02	1.654394e-01	1.577403e-02	1.577403e-02
6.400000e-02	6.600000e-02	1.684474e-01	1.591678e-02	1.591678e-02
6.600000e-02	6.800000e-02	1.834873e-01	1.661216e-02	1.661216e-02
6.800000e-02	7.000000e-02	2.301112e-01	1.860339e-02	1.860339e-02
7.000000e-02	7.200000e-02	2.677111e-01	2.006579e-02	2.006579e-02
7.200000e-02	7.400000e-02	2.692150e-01	2.012208e-02	2.012208e-02
7.400000e-02	7.600000e-02	2.541751e-01	1.955193e-02	1.955193e-02
7.600000e-02	7.800000e-02	2.797430e-01	2.051175e-02	2.051175e-02
7.800000e-02	8.000000e-02	3.293748e-01	2.225709e-02	2.225709e-02
8.000000e-02	8.200000e-02	3.820146e-01	2.396973e-02	2.396973e-02
8.200000e-02	8.400000e-02	4.196145e-01	2.512166e-02	2.512166e-02
