# BEGIN PLOT
LegendOnly=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8 //afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet_nobias.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8
DrawOnly=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8 //afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet_nobias.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8
RatioPlotReference=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/dijet.yoda/MC_LHQG_dijet/GA_00_00_Q200_R8
ScaledBy=5.0914180862722374
Title=dijet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e+00	7.500000e+00	1.579303e-05	1.047242e-05	1.047242e-05
7.500000e+00	8.500000e+00	2.136427e-05	2.136427e-05	2.136427e-05
8.500000e+00	9.500000e+00	6.028495e-05	3.464481e-05	3.464481e-05
9.500000e+00	1.050000e+01	1.866741e-04	5.937500e-05	5.937500e-05
1.050000e+01	1.150000e+01	2.078911e-04	8.492855e-05	8.492855e-05
1.150000e+01	1.250000e+01	5.437923e-03	5.119739e-03	5.119739e-03
1.250000e+01	1.350000e+01	6.415102e-04	1.184675e-04	1.184675e-04
1.350000e+01	1.450000e+01	5.601083e-04	9.935197e-05	9.935197e-05
1.450000e+01	1.550000e+01	2.126373e-03	1.299367e-03	1.299367e-03
1.550000e+01	1.650000e+01	1.155367e-03	1.455087e-04	1.455087e-04
