# BEGIN PLOT
LegendOnly=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8 //afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet_born.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8
DrawOnly=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8 //afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet_born.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8
RatioPlotReference=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/d/dkar/lh2015-qg/Vincia-2001/lhc/hadron/zjet.yoda/MC_LHQG_Zjet/mMDT_GA_10_20_Q200_R8
ScaledBy=440.80459546923151
Title=zjet
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-03	2.516519e+02	2.438750e+01	2.438750e+01
2.000000e-03	4.000000e-03	2.868166e+01	4.050147e+00	4.050147e+00
4.000000e-03	6.000000e-03	1.785955e+01	3.557917e+00	3.557917e+00
6.000000e-03	8.000000e-03	1.972763e+01	1.136466e+01	1.136466e+01
8.000000e-03	1.000000e-02	9.978955e+00	2.378055e+00	2.378055e+00
1.000000e-02	1.200000e-02	8.699285e+00	2.434921e+00	2.434921e+00
1.200000e-02	1.400000e-02	6.159810e+00	1.588746e+00	1.588746e+00
1.400000e-02	1.600000e-02	5.164720e+00	1.576553e+00	1.576553e+00
1.600000e-02	1.800000e-02	5.022745e+00	1.732271e+00	1.732271e+00
1.800000e-02	2.000000e-02	6.105440e+00	2.233348e+00	2.233348e+00
2.000000e-02	2.200000e-02	1.392440e+00	5.738497e-01	5.738497e-01
2.200000e-02	2.400000e-02	7.177785e+00	2.268831e+00	2.268831e+00
2.400000e-02	2.600000e-02	2.934858e+00	1.294405e+00	1.294405e+00
2.600000e-02	2.800000e-02	4.961382e+00	1.684459e+00	1.684459e+00
2.800000e-02	3.000000e-02	1.022181e+00	3.739603e-01	3.739603e-01
3.000000e-02	3.200000e-02	2.618221e+00	1.426270e+00	1.426270e+00
3.200000e-02	3.400000e-02	3.600198e+00	1.595859e+00	1.595859e+00
3.400000e-02	3.600000e-02	1.756301e+00	1.108454e+00	1.108454e+00
3.600000e-02	3.800000e-02	3.611951e+00	1.343051e+00	1.343051e+00
3.800000e-02	4.000000e-02	1.194564e+00	6.880770e-01	6.880770e-01
4.000000e-02	4.200000e-02	1.658707e+00	9.071604e-01	9.071604e-01
4.200000e-02	4.400000e-02	2.615827e+00	1.539234e+00	1.539234e+00
4.400000e-02	4.600000e-02	2.728588e+00	1.511214e+00	1.511214e+00
4.600000e-02	4.800000e-02	4.505494e-01	2.384055e-01	2.384055e-01
4.800000e-02	5.000000e-02	1.698488e+00	1.373607e+00	1.373607e+00
5.000000e-02	5.200000e-02	1.710543e+00	9.273672e-01	9.273672e-01
5.200000e-02	5.400000e-02	2.125938e+00	9.766939e-01	9.766939e-01
5.400000e-02	5.600000e-02	1.321270e+00	6.847719e-01	6.847719e-01
5.600000e-02	5.800000e-02	1.828066e+00	1.008130e+00	1.008130e+00
5.800000e-02	6.000000e-02	4.618010e+00	1.867316e+00	1.867316e+00
6.000000e-02	6.200000e-02	8.269520e-01	4.479450e-01	4.479450e-01
6.200000e-02	6.400000e-02	1.098483e+00	5.277857e-01	5.277857e-01
6.400000e-02	6.600000e-02	2.433520e+00	1.176488e+00	1.176488e+00
6.600000e-02	6.800000e-02	1.559298e+00	9.807668e-01	9.807668e-01
6.800000e-02	7.000000e-02	8.411895e-01	5.505849e-01	5.505849e-01
7.000000e-02	7.200000e-02	1.733236e+00	7.708281e-01	7.708281e-01
7.200000e-02	7.400000e-02	4.429688e-01	2.207817e-01	2.207817e-01
7.400000e-02	7.600000e-02	1.260466e+00	5.960552e-01	5.960552e-01
7.600000e-02	7.800000e-02	1.193665e+00	5.534756e-01	5.534756e-01
7.800000e-02	8.000000e-02	1.882484e+00	9.307963e-01	9.307963e-01
8.000000e-02	8.200000e-02	6.242955e-01	4.169007e-01	4.169007e-01
8.200000e-02	8.400000e-02	2.224689e+00	1.053180e+00	1.053180e+00
8.400000e-02	8.600000e-02	9.284265e-01	5.105659e-01	5.105659e-01
8.600000e-02	8.800000e-02	1.046104e+00	4.936085e-01	4.936085e-01
8.800000e-02	9.000000e-02	6.248090e-01	4.303660e-01	4.303660e-01
9.000000e-02	9.200000e-02	1.870918e+00	8.265094e-01	8.265094e-01
9.200000e-02	9.400000e-02	1.535695e-01	1.005440e-01	1.005440e-01
9.400000e-02	9.600000e-02	1.907085e+00	1.158283e+00	1.158283e+00
9.600000e-02	9.800000e-02	1.133736e+00	6.376323e-01	6.376323e-01
9.800000e-02	1.000000e-01	3.216282e-01	1.539852e-01	1.539852e-01
1.000000e-01	1.020000e-01	2.157991e-01	1.452356e-01	1.452356e-01
1.020000e-01	1.040000e-01	4.375374e-01	2.903654e-01	2.903654e-01
1.040000e-01	1.060000e-01	1.292936e+00	6.877434e-01	6.877434e-01
1.060000e-01	1.080000e-01	2.471454e+00	1.508593e+00	1.508593e+00
1.080000e-01	1.100000e-01	9.252660e-02	5.836968e-02	5.836968e-02
1.100000e-01	1.120000e-01	1.307673e+00	9.102460e-01	9.102460e-01
1.120000e-01	1.140000e-01	5.624000e-01	3.525305e-01	3.525305e-01
1.140000e-01	1.160000e-01	2.596761e+00	1.659578e+00	1.659578e+00
1.160000e-01	1.180000e-01	1.684649e-01	1.053532e-01	1.053532e-01
1.180000e-01	1.200000e-01	1.523720e+00	1.455475e+00	1.455475e+00
1.200000e-01	1.220000e-01	7.332550e-01	6.140413e-01	6.140413e-01
1.220000e-01	1.240000e-01	9.955510e-01	4.098869e-01	4.098869e-01
1.240000e-01	1.260000e-01	8.899630e-01	5.879690e-01	5.879690e-01
1.260000e-01	1.280000e-01	2.021499e+00	1.355141e+00	1.355141e+00
1.280000e-01	1.300000e-01	6.571445e-01	4.225982e-01	4.225982e-01
1.300000e-01	1.320000e-01	1.298397e+00	9.584310e-01	9.584310e-01
1.320000e-01	1.340000e-01	1.081084e-01	9.952584e-02	9.952584e-02
1.340000e-01	1.360000e-01	1.767157e+00	1.302638e+00	1.302638e+00
1.360000e-01	1.380000e-01	1.031308e+00	7.831145e-01	7.831145e-01
1.380000e-01	1.400000e-01	3.962431e-01	3.928518e-01	3.928518e-01
1.400000e-01	1.420000e-01	5.654635e-01	4.841282e-01	4.841282e-01
1.420000e-01	1.440000e-01	7.828745e-03	7.828744e-03	7.828744e-03
1.440000e-01	1.460000e-01	2.907916e-01	2.152059e-01	2.152059e-01
1.460000e-01	1.480000e-01	1.267967e+00	7.507246e-01	7.507246e-01
1.480000e-01	1.500000e-01	1.772304e+00	7.887135e-01	7.887135e-01
1.500000e-01	1.520000e-01	1.212280e+00	6.460381e-01	6.460381e-01
1.520000e-01	1.540000e-01	1.134806e+00	8.495650e-01	8.495650e-01
1.540000e-01	1.560000e-01	2.830196e-01	1.894069e-01	1.894069e-01
1.560000e-01	1.580000e-01	8.399775e-01	8.260239e-01	8.260239e-01
1.580000e-01	1.600000e-01	7.572810e-01	6.661231e-01	6.661231e-01
1.600000e-01	1.620000e-01	2.857688e-01	2.126772e-01	2.126772e-01
1.620000e-01	1.640000e-01	6.411345e-01	4.807265e-01	4.807265e-01
1.640000e-01	1.660000e-01	6.681720e-02	4.745025e-02	4.745025e-02
1.660000e-01	1.680000e-01	3.492821e-01	2.242561e-01	2.242561e-01
1.680000e-01	1.700000e-01	6.010210e-01	4.829011e-01	4.829011e-01
1.700000e-01	1.720000e-01	1.950589e-01	1.486557e-01	1.486557e-01
1.720000e-01	1.740000e-01	5.787755e-01	2.889733e-01	2.889733e-01
1.740000e-01	1.760000e-01	1.489845e+00	1.218509e+00	1.218509e+00
1.760000e-01	1.780000e-01	6.271525e-01	3.325001e-01	3.325001e-01
1.780000e-01	1.800000e-01	3.162910e-01	2.438353e-01	2.438353e-01
1.800000e-01	1.820000e-01	7.914645e-02	7.052094e-02	7.052094e-02
1.820000e-01	1.840000e-01	1.270248e+00	1.028523e+00	1.028523e+00
1.840000e-01	1.860000e-01	3.878933e-03	3.878933e-03	3.878933e-03
1.860000e-01	1.880000e-01	7.434075e-02	7.136722e-02	7.136722e-02
1.880000e-01	1.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e-01	1.920000e-01	1.603204e+00	1.052103e+00	1.052103e+00
1.920000e-01	1.940000e-01	8.211555e-01	5.595603e-01	5.595603e-01
1.940000e-01	1.960000e-01	7.712965e-03	5.467136e-03	5.467136e-03
1.960000e-01	1.980000e-01	2.960274e-01	2.960274e-01	2.960274e-01
1.980000e-01	2.000000e-01	1.028886e-01	1.028886e-01	1.028886e-01
2.000000e-01	2.020000e-01	2.163584e-01	1.966313e-01	1.966313e-01
2.020000e-01	2.040000e-01	6.911495e-02	5.079769e-02	5.079769e-02
2.040000e-01	2.060000e-01	1.239997e-01	1.232017e-01	1.232017e-01
2.060000e-01	2.080000e-01	2.669053e-02	2.669053e-02	2.669053e-02
2.080000e-01	2.100000e-01	7.551455e-01	4.052635e-01	4.052635e-01
2.100000e-01	2.120000e-01	1.642040e-01	1.431381e-01	1.431381e-01
2.120000e-01	2.140000e-01	4.009746e-01	2.969851e-01	2.969851e-01
2.140000e-01	2.160000e-01	1.110503e-02	1.018010e-02	1.018010e-02
2.160000e-01	2.180000e-01	1.493820e-01	1.243618e-01	1.243618e-01
2.180000e-01	2.200000e-01	3.845462e-01	3.207677e-01	3.207677e-01
2.200000e-01	2.220000e-01	8.716020e-02	8.716018e-02	8.716018e-02
2.220000e-01	2.240000e-01	1.260195e-01	8.718856e-02	8.718856e-02
